순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
163,1198642201,주식회사 한일이앤씨,황유경,분석,61106360,85.0,89.879,90.18,-0.0211 (99.9789),7 15,2022/09/29 09:26:47,
164,3828700771,주식회사 우진지앤에스,정안수,분석,61108298,85.0,89.882,90.183,-0.0179 (99.9821),3 2,2022/09/28 18:28:12,
165,1128701225,주식회사 블루인텔리전스,조축호,분석,61109017,85.0,89.883,90.184,-0.0167 (99.9833),6 13,2022/09/29 10:13:17,
166,1188113673,동해정보통신 주식회사,이창원,분석,61109856,85.0,89.884,90.185,-0.0153 (99.9847),9 2,2022/09/29 07:36:55,
167,1108604272,소리콤 주식회사,정재홍,분석,61111330,85.0,89.887,90.187,-0.0129 (99.9871),7 10,2022/09/28 23:16:16,
168,2218120693,주식회사 일동에너텍,김종삼,분석,61111751,85.0,89.887,90.188,-0.0122 (99.9878),5 12,2022/09/29 10:55:04,
169,2108118504,보성전기산업(주),강명구,분석,61115200,85.0,89.893,90.193,-0.0066 (99.9934),12 10,2022/09/23 09:45:11,
170,1098150581,주식회사 우진파워텍,한용일,분석,61115234,85.0,89.893,90.193,-0.0065 (99.9935),13 9,2022/09/28 14:22:33,
171,1058622531,건웅신호산전(주),박정현,분석,61115510,85.0,89.893,90.194,-0.0061 (99.9939),11 10,2022/09/29 15:30:16,
172,1058727284,(주)조은네트웍스,김장열,분석,61115688,85.0,89.893,90.194,-0.0058 (99.9942),6 4,2022/09/28 09:30:36,
173,1178152009,동아신호 주식회사,최종수,분석,61117430,85.0,89.896,90.196,-0.0030 (99.997),14 10,2022/09/29 16:17:37,
174,1180565240,성보전자통신,양행천,분석,61119880,85.0,89.9,90.2,0.0011 (100.0011),3 9,2022/09/30 08:50:24,
175,8958700597,주식회사 아이티앤에스,김세영,분석,61119951,85.0,89.9,90.2,0.0012 (100.0012),10 14,2022/09/29 06:22:28,
176,2178140711,주식회사 넥슨통신,이미영,분석,61120628,85.0,89.901,90.201,0.0023 (100.0023),10 14,2022/09/30 09:15:15,
177,6288800543,주식회사 시온네트워크,김동현,분석,61121350,85.0,89.902,90.202,0.0035 (100.0035),9 6,2022/09/27 11:34:01,
178,1058191993,링크정보통신주식회사,이재호,분석,61122018,85.0,89.903,90.203,0.0046 (100.0046),4 13,2022/09/29 10:54:19,
179,1098610416,(주)네시비스,이은섭,분석,61122568,85.0,89.904,90.204,0.0055 (100.0055),4 11,2022/09/28 10:17:33,
180,8418600934,주식회사 디토시스,이민용,분석,61122690,85.0,89.904,90.204,0.0056 (100.0056),8 13,2022/09/28 09:23:37,
181,2158119769,주식회사 남일기업,이범석,분석,61123241,85.0,89.905,90.205,0.0066 (100.0066),14 12,2022/09/29 13:45:59,
182,1118124994,오리엔트주식회사,이경호,분석,61125624,85.0,89.909,90.209,0.0105 (100.0105),14 5,2022/09/30 09:05:07,
